price_millions,space,rooms,geo_lat,geo_lng,parking,water_heating,doorman,price_level,gas_network,balcony,linen_room,anomaly,anomaly_score
1.5,60,2,6.21902,-75.60331,10,1,1,4,1.0,1,1,1,95.443169447691
13.5,60,3,6.23465,-75.57607,1,1,1,4,1.0,1,1,1,94.74773336139
1.65,80,3,6.25356,-75.59456,9,1,0,5,1.0,1,1,1,75.610133662584
10.75,70,3,6.26613,-75.59367,0,0,0,0,0.0,0,0,1,62.07836963917
9.8,68,2,6.22355,-75.60327,0,1,0,3,1.0,0,1,1,43.080569183366
8,173,3,6.2207,-75.56947,2,1,1,0,1.0,1,1,1,35.30000037489
2.8,126,1,4.85914,-75.65903,0,0,0,6,0.0,0,0,1,31.188054284536
0.65,20,1,4.85914,-75.65903,0,0,0,3,0.0,0,0,1,29.420217659711
0.75,25,1,4.85914,-75.65903,0,0,0,3,0.0,0,0,1,29.037483473116
0.56,30,1,4.85914,-75.65903,0,0,0,3,0.0,0,0,1,29.007407196141
0.9,50,1,4.85914,-75.65903,0,0,0,5,0.0,0,0,0,28.172207393986
2.2,106,4,4.85914,-75.65903,1,0,0,0,1.0,1,1,0,26.949117243856
0.85,30,1,4.85914,-75.65903,0,0,0,0,1.0,0,1,0,26.92483843784
0.85,30,1,4.85914,-75.65903,0,0,0,0,1.0,0,1,0,26.92483843784
1.85,95,3,4.85914,-75.65903,0,1,0,5,0.0,0,0,0,26.778682280733
1.85,95,3,4.85914,-75.65903,0,1,0,5,0.0,0,0,0,26.778682280733
1.1,90,3,4.85914,-75.65903,0,0,0,4,0.0,0,0,0,26.773382475567
1.2,115,4,4.85914,-75.65903,0,0,0,3,0.0,0,1,0,26.768552357635
0.85,28,1,4.85914,-75.65903,0,0,0,0,1.0,1,1,0,26.748143968106
2.3,130,3,4.85914,-75.65903,1,0,0,0,1.0,1,1,0,26.725534443665
0.64,25,1,4.85914,-75.65903,0,0,0,3,0.0,0,1,0,26.711897076068
1.2,70,2,4.85914,-75.65903,0,1,0,0,1.0,0,0,0,26.665756829848
0.83,35,1,4.85914,-75.65903,0,0,0,3,0.0,0,1,0,26.049668371427
0.73,40,1,4.85914,-75.65903,0,0,0,3,0.0,0,1,0,25.955156158669
0.66,46,1,4.85914,-75.65903,0,0,0,3,0.0,0,1,0,25.838098897026
2.1,110,3,4.85914,-75.65903,0,0,0,0,1.0,1,1,0,25.59499418148
0.68,46,1,4.85914,-75.65903,0,0,0,3,0.0,1,1,0,25.543516022766
0.9,45,1,4.85914,-75.65903,0,1,0.5,4,1.0,0,0,0,25.116573755034
2,90,3,4.85914,-75.65903,1,0,0,0,1.0,1,1,0,24.76193863581
1.4,67,2,4.85914,-75.65903,0,0,0,0,1.0,1,1,0,24.320291781707
1.45,67,2,4.85914,-75.65903,0,0,0,0,1.0,1,1,0,24.316209579464
1.6,72,2,4.85914,-75.65903,0,1,0,0,1.0,0,1,0,24.172031507901
0.87,47,1,4.85914,-75.65903,0,0,0,3,1.0,0,1,0,23.650489878144
1.2,45,1,4.85914,-75.65903,0,1,0,5,1.0,1,1,0,23.049202242153
1.1,48,1,4.85914,-75.65903,0,1,0,4,1.0,1,1,0,22.698381497118
1.8,112,3,4.85914,-75.65903,1,1,0,4,1.0,0,1,0,22.50884079564
1.2,65,2,4.85914,-75.65903,1,0,0,5,1.0,0,1,0,22.126750102034
1.1,60,2,4.85914,-75.65903,0,0,0,4,1.0,0,1,0,22.046436848707
0.9,80,3,4.85914,-75.65903,0,1,0,3,1.0,0,1,0,22.038475629334
1.3,88,3,4.85914,-75.65903,1,1,1,5,1.0,0,1,0,22.035487833849
1.45,85,3,4.85914,-75.65903,1,1,0,5,1.0,0,1,0,21.95795592572
2.2,100,3,4.85914,-75.65903,1,1,0.5,5,1.0,1,1,0,21.861976168426
1.45,75,3,4.85914,-75.65903,0,1,0,4,1.0,0,1,0,21.689943013731
1.7,67,3,4.85914,-75.65903,1,1,0,5,1.0,1,1,0,21.636735962767
2,80,3,4.85914,-75.65903,1,1,1,4,1.0,1,1,0,21.504310580276
1.2,65,2,4.85914,-75.65903,1,1,0,4,1.0,0,1,0,21.403855799022
1.15,66,3,4.85914,-75.65903,0,1,0.5,4,1.0,0,1,0,21.263563098812
1.35,65,2,4.85914,-75.65903,1,1,0,4,1.0,1,1,0,21.088471729132
1.4,65,3,4.85914,-75.65903,0,1,0.5,3,1.0,1,1,0,21.010272496955
1.4,76,3,4.85914,-75.65903,0,1,0.5,3,1.0,1,1,0,20.99214287892
1.15,55,2,4.85914,-75.65903,0,1,0.5,3,1.0,1,1,0,20.985390192232
6.5,178,3,6.19676,-75.57473,1,1,1,6,1.0,1,1,0,19.906698009837
6,186,3,6.19692,-75.57461,2,1,1,6,1.0,1,1,0,19.732620196603
6.096,127,1,6.20202,-75.568,0,0,0,6,0.0,0,0,0,19.067894440179
5,135,0,6.24909,-75.59132,0,0,0,0,0.0,0,0,0,16.94727567232
4.2,198,3,6.19676,-75.57473,3,1,1,6,1.0,1,1,0,16.748601551583
4.7,164,3,6.23131,-75.56986,2,1,1,6,0.0,1,1,0,12.476673438188
4.5,150,5,6.24627,-75.54584,0,0,0,3,1.0,1,1,0,12.264894204363
5,146,3,6.2207,-75.56947,2,1,1,0,1.0,0,1,0,12.233038508493
5.6,140,3,6.19676,-75.57473,2,1,1,5,1.0,1,1,0,11.994322561867
3.5,198,4,6.19692,-75.57461,2,1,1,6,1.0,1,1,0,11.647769221135
4,190,3,6.21261,-75.57005,2,0,1,6,1.0,1,1,0,11.189764909619
5.3,137,3,6.19042,-75.57705,2,1,1,6,1.0,1,1,0,10.757729913477
2.7,180,5,6.23113,-75.60013,2,1,0,4,1.0,0,1,0,9.4566277030327
4.5,150,3,6.2207,-75.56947,2,1,1,6,1.0,1,1,0,8.3614222543922
